0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:43:57 +0530] "GET /gamutkart/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:43:57 +0530] "GET /gamutkart/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:43:57 +0530] "GET /gamutkart/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:43:57 +0530] "GET /gamutkart/css/sticky-footer-navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:44:00 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:44:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:56:12 +0530] "GET /gamutkart/ HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:56:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:56:12 +0530] "GET /gamutkart/css/main.css HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:56:12 +0530] "GET /gamutkart/css/sticky-footer-navbar.css HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:56:12 +0530] "GET /gamutkart/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:56:12 +0530] "GET /gamutkart/css/bootstrap.min.css HTTP/1.1" 200 121208
0:0:0:0:0:0:0:1 - - [15/Apr/2024:13:56:12 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
